pelicula,nombre,rol,imagen
Spider-Man: Cruzando el Multiverso,Justin K. Thompson,Director,director_1046497.jpg
Spider-Man: Cruzando el Multiverso,Kemp Powers,Director,director_2451598.jpg
Spider-Man: Cruzando el Multiverso,Shameik Moore,Actor,actor_587506.jpg
Spider-Man: Cruzando el Multiverso,Hailee Steinfeld,Actor,actor_130640.jpg
Spider-Man: Cruzando el Multiverso,Brian Tyree Henry,Actor,actor_226366.jpg
Robot salvaje,Tony Leung Chiu-Wai,Actor,actor_1337.jpg
El Gato con Botas: El último deseo,Joel Crawford,Director,director_1450348.jpg
El Gato con Botas: El último deseo,Antonio Banderas,Actor,actor_3131.jpg
El Gato con Botas: El último deseo,Salma Hayek Pinault,Actor,actor_3136.jpg
El Gato con Botas: El último deseo,Harvey Guillén,Actor,actor_210172.jpg
Una chica del siglo XX,Harry Bradbeer,Director,director_173847.jpg
Una chica del siglo XX,Millie Bobby Brown,Actor,actor_1356210.jpg
Una chica del siglo XX,Henry Cavill,Actor,actor_73968.jpg
Una chica del siglo XX,David Thewlis,Actor,actor_11207.jpg
Top Gun: Maverick,Joseph Kosinski,Director,director_86270.jpg
Top Gun: Maverick,Tom Cruise,Actor,actor_500.jpg
Top Gun: Maverick,Val Kilmer,Actor,actor_5576.jpg
Top Gun: Maverick,Miles Teller,Actor,actor_996701.jpg
Dune: Parte dos,Denis Villeneuve,Director,director_137427.jpg
Dune: Parte dos,Timothée Chalamet,Actor,actor_1190668.jpg
Dune: Parte dos,Zendaya,Actor,actor_505710.jpg
Dune: Parte dos,Rebecca Ferguson,Actor,actor_933238.jpg
Oppenheimer,Christopher Nolan,Director,director_525.jpg
Oppenheimer,Cillian Murphy,Actor,actor_2037.jpg
Oppenheimer,Emily Blunt,Actor,actor_5081.jpg
Oppenheimer,Matt Damon,Actor,actor_1892.jpg
"Rojo, blanco y sangre azul",Castille Landon,Director,director_1448492.jpg
"Rojo, blanco y sangre azul",Hero Fiennes Tiffin,Actor,actor_1114487.jpg
"Rojo, blanco y sangre azul",Josephine Langford,Actor,actor_1753914.jpg
"Rojo, blanco y sangre azul",Mimi Keene,Actor,actor_1694711.jpg
